checkpoint,validation_last,validation_min,validation_mean,mean_mae,mean_rmse,median_rmse,best_rmse,worst_rmse,mean_corr,mean_skill
1256,,,,0.14022264,0.2740004,0.10683682,0.02354654,2.447043,0.01528203078884401,-0.09314234
2504,,,,0.13450906,0.2699893,0.10900573,0.018511081,2.4445302,0.04345074721713664,-0.09187053
3752,,,,0.12005602,0.26159424,0.08173626,0.02397295,2.470108,0.05165378892862006,-0.06089191
5000,,,,0.14576894,0.2762576,0.13428849,0.014770319,2.4358902,0.027882811670807077,-0.1253821
6256,,,,0.10732536,0.25498047,0.059036396,0.013530535,2.4906147,0.0407084090469986,-0.047911033
7504,,,,0.12411604,0.2640885,0.09444027,0.016216218,2.4622111,0.04629676796238124,-0.07757285
8752,,,,0.10300156,0.2529022,0.055675983,0.012693466,2.4867709,0.05051360931750369,-0.043746132
10000,,,,0.11465471,0.25884154,0.07609854,0.017757274,2.472776,0.05434284434632161,-0.056444973
11256,,,,0.11548632,0.25944087,0.077750936,0.015427869,2.473924,0.04915433453876061,-0.06054778
12504,,,,0.12913474,0.2680652,0.09597042,0.015785174,2.4735558,0.05057284100297359,-0.08422195
13752,,,,0.13112545,0.26720628,0.099500775,0.015985372,2.4546182,0.043002097435222625,-0.082904436
15000,,,,0.11605509,0.26012847,0.08047676,0.01593738,2.4804592,0.05393846502998472,-0.06741927
16256,,,,0.13491638,0.26948678,0.099125095,0.019807681,2.4320202,0.0429486422176393,-0.08794606
17504,,,,0.11286631,0.25748122,0.06696155,0.014038832,2.4925265,0.05714525847529681,-0.053515702
18752,,,,0.10873661,0.25633907,0.061320797,0.017259393,2.482994,0.061140544878944644,-0.04892518
20000,,,,0.11579972,0.25975496,0.068313055,0.021722889,2.4939888,0.059766917688012886,-0.0554082
21256,,,,0.12394463,0.2626901,0.08762802,0.015114127,2.4726477,0.0494187238692093,-0.073302776
22504,,,,0.14094356,0.27346024,0.11931797,0.012308538,2.4556072,0.04398102446377509,-0.1053904
23752,,,,0.12483736,0.26467645,0.08795373,0.014953387,2.4828658,0.048351251611194836,-0.074448064
25000,,,,0.13113691,0.26676682,0.09534154,0.022066075,2.4884403,0.04958731326154489,-0.08113156
26256,,,,0.1091819,0.25487095,0.06284851,0.013771939,2.5089505,0.04743152827445535,-0.046130363
27504,,,,0.11433378,0.2579537,0.07752222,0.0121662775,2.4832597,0.05701713657492469,-0.062459923
28752,,,,0.11922687,0.26117378,0.0914931,0.01424336,2.4658809,0.05641223376749694,-0.06859138
30000,,,,0.120501414,0.26192227,0.08951267,0.014207773,2.4683738,0.05643004418928297,-0.07413914
31256,,,,0.12616012,0.26469067,0.09459376,0.017638316,2.4905455,0.05520323618943932,-0.07672432
32504,,,,0.12235307,0.26259446,0.08731384,0.013218924,2.4848018,0.0507320980614429,-0.084814
33752,,,,0.13755423,0.27017868,0.10519175,0.018286252,2.4848843,0.03898658572858186,-0.097401075
35000,,,,0.12790132,0.26428938,0.088744685,0.025117163,2.5005264,0.047603594383882834,-0.06863005
36256,,,,0.11464846,0.25719962,0.07707446,0.013658416,2.5019898,0.05993868291492247,-0.054261595
37504,,,,0.11932878,0.2606533,0.08436622,0.01168396,2.5049453,0.060871303690205374,-0.06666589
38752,,,,0.12278918,0.2630029,0.08951506,0.0147753665,2.496503,0.057297570401130066,-0.075805925
40000,,,,0.12546337,0.26453122,0.0934881,0.012936507,2.4773445,0.05826580312976556,-0.084148034
41256,,,,0.11764768,0.25926134,0.078266315,0.015300317,2.5017116,0.05975142562602922,-0.061076447
42504,,,,0.12167964,0.26074126,0.083894774,0.017328603,2.5070066,0.05710909222945689,-0.06991917
43752,,,,0.12559909,0.2646896,0.09615778,0.017381925,2.4891803,0.06233600868176041,-0.078696735
45000,,,,0.120728,0.26115194,0.09420767,0.011574151,2.5050123,0.05682464787185159,-0.077136405
46256,,,,0.12023775,0.26027444,0.08689557,0.0144317895,2.513143,0.05303007393962537,-0.07214822
47504,,,,0.12442807,0.26223168,0.08911636,0.012039598,2.4649513,0.044664227514166016,-0.078184664
48752,,,,0.12310562,0.26125008,0.08573015,0.013461614,2.4830036,0.05410328617350033,-0.07217759
50000,,,,0.10998378,0.25693163,0.069185495,0.013265286,2.5169306,0.0685921805409198,-0.059995983
51256,,,,0.123867266,0.26274174,0.090190016,0.013609971,2.4874873,0.057894938791205275,-0.080825716
52504,,,,0.13356017,0.26907286,0.10167625,0.018330134,2.4863684,0.05950822216500141,-0.09381575
53752,,,,0.11973706,0.26051635,0.08853337,0.01251358,2.4957695,0.06442863773029132,-0.072193176
55000,,,,0.12775736,0.2637663,0.09853163,0.015335359,2.4929647,0.05924786857709363,-0.08116735
56256,,,,0.11528302,0.25785726,0.08332609,0.009653557,2.4858856,0.05871828837154283,-0.06922071
57504,,,,0.11475155,0.25767714,0.07174396,0.015127415,2.5028539,0.06195252293840375,-0.05336308
58752,,,,0.119238265,0.2591961,0.0801388,0.012609799,2.4988184,0.05900283678818678,-0.06523491
60000,,,,0.11499795,0.2575551,0.076691374,0.010040882,2.493917,0.06304835435177052,-0.06680939
61256,,,,0.12711838,0.26239526,0.09805606,0.010964363,2.4997249,0.05233445592863402,-0.08199761
62504,,,,0.11608894,0.25734678,0.077322796,0.011500105,2.514107,0.05711011359738385,-0.06365702
63752,,,,0.1216765,0.26129717,0.08119307,0.010487145,2.48373,0.06051192296106696,-0.08503198
65000,,,,0.11254732,0.25666848,0.076634936,0.009525832,2.4876359,0.05760711829170085,-0.06001473
66256,,,,0.11234629,0.25624862,0.07738925,0.009200761,2.496852,0.06235747642406889,-0.06383776
67504,,,,0.122709334,0.26121375,0.09509878,0.0115357675,2.4941726,0.05867536326815794,-0.0731638
68752,,,,0.12573534,0.26225686,0.086192146,0.018216902,2.4989452,0.06676984479227448,-0.075988874
70000,,,,0.12832548,0.26447868,0.09807312,0.01066502,2.4913454,0.062918816339098,-0.091864176
71256,,,,0.12427786,0.26250973,0.08743061,0.009926989,2.480784,0.0614516944931631,-0.09431848
72504,,,,0.125119,0.26241705,0.09339437,0.014895885,2.4868054,0.054234291657011324,-0.07540063
73752,,,,0.1279127,0.26365334,0.09687997,0.016553806,2.4924426,0.06854125683397462,-0.081236765
75000,,,,0.13503207,0.26758334,0.10115744,0.018358449,2.4714298,0.058995031836199606,-0.08967427
76256,,,,0.12042226,0.25878882,0.068559855,0.012031947,2.4732819,0.0623283240202679,-0.07490858
77504,,,,0.113150276,0.2557193,0.06833733,0.010123781,2.4928317,0.06285707880124748,-0.06069836
78752,,,,0.11478945,0.2552143,0.06601714,0.008042484,2.5047631,0.05466823622338935,-0.06452202
80000,,,,0.11463262,0.25634077,0.06509869,0.012157399,2.4794378,0.05839881583935685,-0.053336777
81256,,,,0.13762516,0.2682059,0.1048666,0.0115132565,2.4844747,0.05970709308458331,-0.10475636
82504,,,,0.1208648,0.2605953,0.06712203,0.019068047,2.4837952,0.06707398009580762,-0.056394454
83752,,,,0.121780664,0.261972,0.08370094,0.013265427,2.5008,0.06655063695262414,-0.08275309
85000,,,,0.11544289,0.25617102,0.072017066,0.010858232,2.4802926,0.059019846754190836,-0.06265038
86256,,,,0.10736633,0.25152522,0.05837342,0.0074856635,2.5026362,0.056377942179437805,-0.055600353
87504,,,,0.11665219,0.25755545,0.061358765,0.009896606,2.494667,0.062061550333606004,-0.08348433
88752,,,,0.11301664,0.2548421,0.05808974,0.011429544,2.4988558,0.06092866041867491,-0.054440413
90000,,,,0.12967591,0.2641728,0.08214084,0.019286502,2.4905636,0.05457796751328324,-0.0629782
91256,,,,0.12729493,0.26118702,0.07463267,0.014983738,2.4770834,0.06056607199687128,-0.07855543
92504,,,,0.1260638,0.26197046,0.09652462,0.007842411,2.4162667,0.05337021759361133,-0.08382046
93752,,,,0.10973856,0.25439882,0.054422762,0.012119436,2.5123372,0.06405526716024955,-0.04519123
95000,,,,0.121791594,0.2587416,0.07153456,0.014038465,2.475438,0.056960626343241644,-0.05737893
96256,,,,0.13665698,0.2668862,0.09627647,0.013475405,2.47413,0.057712449843803484,-0.09544339
97504,,,,0.118324906,0.25936309,0.06816421,0.01484707,2.4730778,0.06548971175299238,-0.051080078
98752,,,,0.11857155,0.2569254,0.068781324,0.011048124,2.503658,0.06782740799192798,-0.0571011
100000,,,,0.11140911,0.25409287,0.053187054,0.008464954,2.4914842,0.05623263322536176,-0.049697496
